index,key,term_type,Key [],Description [],English [en],Russian [ru],Chinese (Simplified) [zh-CN],French [fr],German [de],Spanish [es],Brazil [pt-BR],Chinese (Traditional) [zh-TW],Korean [ko],Polish [pl],Japanese [ja]
28,UI/OptWindW,0,UI/OptWindW,,Windowed,Окно,窗口化,Fenêtré,Mit Fenster,En ventana,Em janela,視窗化,,Okienkowy,ウィンドウ化
29,UI/OptWindB,0,UI/OptWindB,,Borderless,Окно (без рамки),无边框,Fenêtré sans bordure,Ohne Rahmen,Sin bordes,Sem bordas,無邊框,,Bezramkowy,ボーダーレス
30,UI/OptWindF,0,UI/OptWindF,,Fullscreen,Полный экран,全屏,Plein écran,Vollbild,Pant. completa,Tela cheia,全螢幕,,Pełny ekran,フルスクリーン
31,UI/OptSD,0,UI/OptSD,,Steam Deck,SteamDeck,Steam掌机模式,Steam Deck,Steam Deck,Steam Deck,Steam Deck,Steam掌機模式,,Steam Deck,Steam Deck
32,UI/OptApply,0,UI/OptApply,,Apply,Применить,确定,Appliquer,Anwenden,Aplicar,Aplicar,確定,,Zastosuj,適用
33,UI/OptBack,0,UI/OptBack,,Back,Назад,返回,Retour,Zurück,Volver,Voltar,返回,,Wróć,戻る
34,UI/OptChange,0,UI/OptChange,,Apply changes?,Применить изменения?,是否应用更改？,Appliquer les modifications ?,Änderungen übernehmen?,¿Aplicar los cambios?,Aplicar alterações?,是否應用更改？,,Wprowadzić zmiany?,変更を適用しますか？
35,UI/OptTimer,0,UI/OptTimer,,The settings will be applied in {0},Настройки будут применены через {0},设置将在{0}后生效,Les paramètres seront appliqués dans {0},Die Einstellungen werden in {0} übernommen.,Los ajustes se aplicarán en {0}...,As configurações serão aplicadas em {0},設定將在{0}後生效,,Ustawienia zostaną wprowadzone za {0},{0}秒後に設定が適用されます
36,UI/OptPTSurvey,0,UI/OptPTSurvey,,Take the survey,Пройти опрос,参与调查问卷,Remplir le questionnaire,An der Umfrage teilnehmen,Rellenar la encuesta,Responder à pesquisa,參與調查問卷,,Wypełnij ankietę,アンケートに答える
37,UI/OptWish,0,UI/OptWish,,Wishlist,Вишлист,加入愿望单,Ajouter à la liste de souhaits,Wunschliste,Añadir a deseados,Lista de desejos,加入願望清單,,Dodaj do listy życzeń,ウィッシュリスト
38,UI/OptDayReset,0,UI/OptDayReset,,Start the day over,Начать день сначала,重新开始这一天,Recommencer la journée,Den Tag von vorn beginnen,Comenzar el día de nuevo,Recomeçar o dia,重新開始這一天,,Zacznij dzień od nowa,1日をやり直す
39,UI/OptDayBackward,0,UI/OptDayBackward,,Load previous day,Загрузить предыдущий день,读取前一天的存档,Charger la journée précédente,Vorherigen Tag laden,Cargar el día anterior,Carregar o dia anterior,讀取前一天的存檔,,Wczytaj poprzedni dzień,前日のデータをロードする
40,UI/OptMM,0,UI/OptMM,,Back to Main Menu,В главное меню,返回主菜单,Retour au menu principal,Zurück zum Hauptmenü,Volver al menú principal,Voltar para o Menu Principal,返回主選單,,Powrót do menu głównego,メインメニューに戻る
41,UI/OptQG,0,UI/OptQG,,Quit Game,Выйти из игры,退出游戏,Quitter le jeu,Spiel beenden,Abandonar,Sair do jogo,退出遊戲,,Opuść grę,ゲームを終了する
42,UI/OptResetApply,0,UI/OptResetApply,,"Current progress will be lost. 
Are you sure?","Текущий прогресс будет утерян.
Вы уверены?","当前进度将会丢失。
确定吗？","La progression actuelle sera perdue.
 Voulez-vous vraiment quitter ?","Der aktuelle Fortschritt geht verloren.
 Bist du sicher?","Perderás el progreso actual.
¿Quieres continuar?","O progresso atual será perdido.
Tem certeza?","目前進度將會遺失。
確定嗎？",,"Stracisz obecne postępy.
Na pewno?","現在の進行状況が失われます。
本当に終了しますか？"
43,UI/OptDayN,0,UI/OptDayN,,Day {0},День {0},第{0}天,Jour {0},Tag {0},Día {0},Dia {0},第{0}天,,Dzień {0},{0}日目
44,UI/,0,UI/,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
45,UI/OptPause,0,UI/OptPause,,Pause,Пауза,暂停,Pause,Pause,Pausa,Pausa,暫停,,Pauza,一時停止
46,UI/OptOpt,0,UI/OptOpt,,Settings,Настройки,设置,Paramètres,Einstellungen,Ajustes,Configurações,設定,,Ustawienia,設定
47,UI/OptLang,0,UI/OptLang,,Language,Язык,语言,Langue,Sprache,Idioma,Idioma,語言,,Język,言語
48,Dialogue/Conversation/1/Entry/1/Dialogue Text,0,Dialogue/Conversation/1/Entry/1/Dialogue Text,,Show me your pass.,Справку предъявите.,出示你的通行证。,Montrez-moi votre carte d’accès.,Zeigen Sie mir Ihr Attest.,Los documentos.,Me mostre seu passe.,出示你的通行證。,,Pokaż mi przepustkę.,許可証を確認する。
49,Dialogue/Conversation/1/Entry/2/Dialogue Text,0,Dialogue/Conversation/1/Entry/2/Dialogue Text,,"Yes, of course!","Да, конечно!",好的，没问题！,"Bien sûr, tenez !","Ja, natürlich!",¡Claro!,"Sim, claro!",好的，沒問題！,,Oczywiście!,ああ、いいですよ！
50,Dialogue/Conversation/10/Entry/1/Dialogue Text,0,Dialogue/Conversation/10/Entry/1/Dialogue Text,,"All right, come through.","Ладно, проходи.",行，过去吧。,"Tout est en règle, vous pouvez entrer.","Also gut, Sie dürfen rein.","Vale, puedes pasar.","Tudo certo, pode passar.",行，過去吧。,,"Dobrze, możesz przejść.",よし、通っていいぞ。
51,Dialogue/Conversation/10/Entry/2/Dialogue Text,0,Dialogue/Conversation/10/Entry/2/Dialogue Text,,That's more like it.,Давно бы так.,这还差不多。,Il était temps.,So ist es schon besser.,Así me gusta.,Que beleza!,這還差不多。,,Tak lepiej.,そうこなくっちゃ。
52,Dialogue/Conversation/11/Entry/1/Dialogue Text,0,Dialogue/Conversation/11/Entry/1/Dialogue Text,,"Turn around, you may not pass.","Разворачивайся, ты не проходишь",回去吧，你不能通行。,"Faites demi-tour, vous ne passerez pas.",Kehren Sie um. Hier geht es für Sie nicht weiter.,Date la vuelta. ¡No puedes pasar!,"Dê meia volta, você não pode passar.",回去吧，你不能通行。,,"Zawróć, nie możesz przejść.",引き返すんだな、通すわけにはいかない。
53,Dialogue/Conversation/11/Entry/2/Dialogue Text,0,Dialogue/Conversation/11/Entry/2/Dialogue Text,,I demand an explanation!!!,Я требую объяснений!,我需要一个解释！！！,J’exige une explication !!!,Ich verlange eine Erklärung!!!,¡¿Y eso por qué?!,Eu exijo uma explicação!!!,我需要一個解釋！！！,,Żądam wyjaśnień!!!,説明が必要でしょう！
54,Dialogue/Conversation/12/Entry/1/Dialogue Text,0,Dialogue/Conversation/12/Entry/1/Dialogue Text,,Is something wrong?,Что-то не так?,有什么问题吗？,Quelque chose ne va pas ?,Stimmt etwas nicht?,¿Pasa algo?,Algum problema?,有什麼問題嗎？,,Coś nie tak?,何か問題でも？
55,Dialogue/Conversation/12/Entry/2/Dialogue Text,0,Dialogue/Conversation/12/Entry/2/Dialogue Text,,"Shoot 'em, sir!","Расстрелять, товарищ Берия!",快开枪，长官！,Éliminez cette personne !,"Los, wegschaffen!",¡Al paredón!,"Atire, senhor!",快開槍，長官！,,Otwórz ogień!,奴らを撃ってください！
56,Dialogue/Conversation/13/Entry/1/Dialogue Text,0,Dialogue/Conversation/13/Entry/1/Dialogue Text,,"So you noticed. Okay, I'll just leave...","Заметил, значит. Давай я просто уйду...",被你看出来了。行吧，我这就走……,"Alors vous avez remarqué. Bon, je vais juste partir…","Das ist Ihnen also aufgefallen. Okay, dann geh ich wieder …","Uy, te has dado cuenta. Bueno, yo me voy yendo...","Então você percebeu. Ok, tchauzinho...",被你看出來了。行吧，我這就走……,,"Zauważyłeś. Dobrze, pójdę sobie...",気づかれたか。わかった、行けばいいんでしょ...
57,Dialogue/Conversation/14/Entry/1/Dialogue Text,0,Dialogue/Conversation/14/Entry/1/Dialogue Text,,You shouldn't have done that.,Это ты зря сделал.,真不该那么做。,Vous n’auriez pas dû faire ça.,Das hätten Sie nicht tun sollen.,No tendrías que haber hecho eso.,Você não deveria ter feito isso.,真不該那麼做。,,Popełniłeś wielki błąd.,余計なことをしてくれたね。
58,Dialogue/Conversation/16/Entry/1/Dialogue Text,0,Dialogue/Conversation/16/Entry/1/Dialogue Text,,"You know, I'm feeling a bit off... must be the weather. Or... ooooh.","Знаете, что-то я сегодня сам не свой... погода, наверное. Или... ох-х-х-х-х.",不知怎么，我浑身不太舒服……应该是天气原因吧。要不然……唔哦。,"Vous savez, je ne me sens pas très bien… Ça doit être à cause du temps. Ou... héhéhéhé.","Wissen Sie, irgendwie bin ich heute nicht ganz ich selbst … Muss wohl am Wetter liegen. Oder … ooooh.","Ay, la verdad es que no me encuentro nada bien. Será cosa del tiempo o...","Sabe, não estou muito bem... deve ser o tempo. Ou... ooooh.",不知怎麼，我渾身不太舒服……應該是天氣原因吧。要不然……唔哦。,,Czuję się jakoś nieswojo... pewnie przez pogodę. Albo... aaaaaa.,あの、ちょっとだけ体調が…天気のせいかな。おお…おおおおお。
59,Dialogue/Conversation/17/Entry/1/Dialogue Text,0,Dialogue/Conversation/17/Entry/1/Dialogue Text,,Can't let that one through...,Таких пускать нельзя...,不能放这个人过去……,Impossible de laisser entrer cette personne.,Ich kann Sie nicht durchlassen ...,No puede pasar.,Não podemos deixar essa pessoa passar...,不能放這個人過去……,,Nie mogę przepuścić...,あいつを通すわけにはいかない...
60,Dialogue/Conversation/18/Entry/1/Dialogue Text,0,Dialogue/Conversation/18/Entry/1/Dialogue Text,,I must let this one through no matter what.,"Несмотря ни на что, я должен пропустить.",无论如何我都得放这个人过去。,"Quoi qu’il en soit, je vais devoir laisser passer cette personne.",Diese Person muss ich auf jeden Fall durchlassen.,Tiene que pasar sí o sí.,"Tenho que deixar essa pessoa passar, custe o que custar.",無論如何我都得放這個人過去。,,Muszę przepuścić bez względu na wszystko.,なにがなんでもこいつは通してやらないと。
61,Dialogue/Conversation/2/Entry/1/Dialogue Text,0,Dialogue/Conversation/2/Entry/1/Dialogue Text,,I don't like this. Where is the panic button?,"Что-то мне это не нравится, где тут кнопка тревоги?",情况不对劲。紧急按钮在哪儿？,Je n’aime pas ça. Où se trouve le bouton d’urgence ?,Das gefällt mir gar nicht. Wo ist der Panikknopf?,"Uf, qué mal rollo. ¿Y el botón del pánico?",Não gostei disto. Onde fica o botão de pânico?,情況不對勁。緊急按鈕在哪裡？,,To mi się nie podoba. Gdzie jest przycisk alarmowy?,嫌な感じだ。パニックボタンはどこにあるんだ？
62,Dialogue/Conversation/21/Entry/1/Dialogue Text,0,Dialogue/Conversation/21/Entry/1/Dialogue Text,,"Well, well, well... I hope I didn't miss anything.","Так-так-так... Ничего не пропустил, надеюсь.",哎呀呀……希望我没错过什么。,"Eh bien, eh bien, eh bien… J’espère n’avoir rien manqué.","Gut, gut ... Hoffentlich hab ich nichts übersehen.","Bueno, bueno... Espero no haberme perdido la diversión.","Ora, ora, ora... Espero não ter esquecido nada.",哎呀呀……希望我沒錯過什麼。,,"No, no, no... Mam nadzieję, że niczego nie przegapiłem.",おやおやおや…何か見逃してなければいいんだが。
63,Dialogue/Conversation/22/Entry/1/Dialogue Text,0,Dialogue/Conversation/22/Entry/1/Dialogue Text,,"Ugh, I wish I could go stretch my legs for a bit...","У-у-ух, сейчас бы размяться...",唉，真想出去活动活动腿脚……,"Pff, j’aimerais bien pouvoir aller me dégourdir un peu les jambes...","Puh, wenn ich mir nur kurz die Beine vertreten könnte ...",Me encantaría estirar un poco las piernas.,"Ah, como eu queria poder esticar as pernas um pouco...",唉，真想出去活動活動腿腳……,,Miło by było choć na chwilę rozprostować kości...,ああ、少しだけ歩けたらいいんだけど...
64,Dialogue/Conversation/23/Entry/2/Dialogue Text,0,Dialogue/Conversation/23/Entry/2/Dialogue Text,,Reserved for the security-guard line,Забронированная реплика охранника на службе.,安保人员专用通道,Réservé à la file d’attente des agents de sécurité.,Stellen Sie sich einfach die Standardfloskel eines Wachmanns vor.,Reservado para la seguridad.,Reservado para a linha de vigia de segurança,安保人員專用通道,,Zarezerwowane dla strażnika,警備員用の通路
65,Dialogue/Conversation/24/Entry/2/Dialogue Text,0,Dialogue/Conversation/24/Entry/2/Dialogue Text,,An interesting monologue with the newspaper,Тут будет интересный монолог с газетой.,一段关于报纸的有趣独白,Un monologue intéressant avec le journal.,Hier folgt ein interessanter Zeitungsmonolog.,Un monólogo interesante con el periódico.,Um monólogo interessante com o jornal.,一段關於報紙的有趣獨白,,Ciekawy monolog w gazecie,新聞を用いた興味深いモノローグ
66,Dialogue/Conversation/25/Entry/2/Dialogue Text,0,Dialogue/Conversation/25/Entry/2/Dialogue Text,,Today is gonna be hot...,Жаркий ожидается денек...,今天肯定会很热……,La journée s’annonce chaude...,Heute wird es heiß ...,"Uf, hoy va a hacer un calor de tres pares de narices.",Hoje vai estar quente...,今天肯定會很熱……,,Dziś będzie upał...,今日は暑くなるね...
67,Dialogue/Conversation/3/Entry/1/Dialogue Text,0,Dialogue/Conversation/3/Entry/1/Dialogue Text,,I already gave you my pass!,Справка уже у вас!,我已经给你看过通行证了！,Je vous ai déjà donné ma carte d’accès !,Ich hab Ihnen doch schon mein Attest gegeben!,¡Ya te he dado los documentos!,Já te dei meu passe!,我已經給你看過通行證了！,,Już ci pokazałem przepustkę!,もう許可証は渡しただろう！
68,Dialogue/Conversation/4/Entry/1/Dialogue Text,0,Dialogue/Conversation/4/Entry/1/Dialogue Text,,What the heck do you have there?,Что за жесть у тебя тут?,你手里拿的是什么鬼东西？,"Mais qu’est-ce que vous avez là, bon sang ?",Was zum Teufel haben Sie da?,¿Qué tienes ahí?,Que diabos é isso que você tem aí?,你手裡拿的是什麼鬼東西？,,Co ty tam masz?,そこにあるのは一体なんだ？
69,Dialogue/Conversation/4/Entry/2/Dialogue Text,0,Dialogue/Conversation/4/Entry/2/Dialogue Text,,"I know, I was born like this.","Я в курсе, у меня так с рождения.",没办法，我生来就这样。,"Je sais, c’est de naissance.","Ich weiß, das ist schon seit meiner Geburt so.","Un respeto, que nací así.","Eu sei, eu nasci assim.",沒辦法，我生來就這樣。,,"Wiem, taki się urodziłem.",そう、生まれつきこんな感じだけど。
70,Dialogue/Conversation/5/Entry/2/Dialogue Text,0,Dialogue/Conversation/5/Entry/2/Dialogue Text,,How did it even end up there?,"Ой, а как оно там оказалось?",这东西怎么会出现在那里？,Comment est-ce arrivé là ?,Wie ist das überhaupt dort gelandet?,¿Cómo ha llegado ahí?,Como isso foi parar aí?,這東西怎麼會出現在那裡？,,Jak to się tam znalazło?,あれがどうしてあそこに？
71,Dialogue/Conversation/6/Entry/1/Dialogue Text,0,Dialogue/Conversation/6/Entry/1/Dialogue Text,,Hmm... These are indeed the visitor's fingerprints.,Хм... это действительно отпечатки посетителя.,嗯……这些确实是来访者的指纹。,Hum... Ce sont bien les empreintes du visiteur.,Hmm… das sind tatsächlich die Fingerabdrücke des Besuchers.,Vaya... Parece que estas son las huellas dactilares del visitante.,"Hum... de fato, são as impressões digitais do visitante.",嗯……這些確實是訪客的指紋。, ,Hmm... to rzeczywiście odcisku palców odwiedzającego.,うーん…これは確かに訪問者の指紋だ。
72,Dialogue/Conversation/7/Entry/3/Dialogue Text,0,Dialogue/Conversation/7/Entry/3/Dialogue Text,,"Right, these fingerprints belong to someone else.","Так, это чьи-то чужие отпечатки.",没错，这些指纹属于别人。,"Bon, ces empreintes appartiennent à quelqu’un d’autre.","Stimmt, diese Fingerabdrücke gehören jemand anderem.","Correcto, estas huellas dactilares pertenecen a otra persona.","Certo, essas impressões digitais são de outra pessoa.",沒錯，這些指紋屬於別人。, ,Te odciski wyraźnie należą do kogoś innego.,そうだ、これらは誰か他の人の指紋だ。
73,Dialogue/Conversation/8/Entry/1/Dialogue Text,0,Dialogue/Conversation/8/Entry/1/Dialogue Text,,Boo!,Бу!,嘿！,Bouh !,Buh!,¡BÚ!,Buuu!,嘿！,,Bu!,ブー！
74,Dialogue/Conversation/9/Entry/1/Dialogue Text,0,Dialogue/Conversation/9/Entry/1/Dialogue Text,,Afternoon!,Здравия желаю!,下午好！,Bonjour !,Hallöchen!,¡A las buenas tardes!,Boa tarde!,午安！,,Dzieńdoberek!,どうも！
75,Dialogue/Conversation/26/Entry/1/Dialogue Text,0,Dialogue/Conversation/26/Entry/1/Dialogue Text,,May I see your pass?,Справочку можно?,能看一下你的通行证吗？,Puis-je voir votre carte d’accès ?,Dürfte ich Ihr Attest sehen?,¿Puedo ver los documentos?,Posso ver seu passe?,能看一下你的通行證嗎？,,Mogę zobaczyć przepustkę?,許可証を見せてもらえますか？
76,Dialogue/Conversation/26/Entry/2/Dialogue Text,0,Dialogue/Conversation/26/Entry/2/Dialogue Text,,Just a moment!,Сию минуту!,稍等！,Un instant !,Einen Moment bitte!,¡Un momentito!,Só um minuto!,稍等！,,Chwileczkę!,ちょっと待って！
77,Dialogue/Conversation/27/Entry/1/Dialogue Text,0,Dialogue/Conversation/27/Entry/1/Dialogue Text,,"Your pass, please.","Справку, будьте добры.",请出示通行证。,"Votre carte d’accès, s’il vous plaît.","Ihr Attest, wenn ich bitten darf.","Lo documentos, por favor.","Seu passe, por favor.",請出示通行證。,,"Przepustka, proszę.",許可証をお願いします。
78,Dialogue/Conversation/27/Entry/2/Dialogue Text,0,Dialogue/Conversation/27/Entry/2/Dialogue Text,,"Ah, yeah, here you go.","А, да, вот.",啊，在这，给你。,"Ah, ouais, la voilà.","Ach ja, hier ist es.","Ah, aquí tienes. Faltaría más.","Ah, sim. Aqui está.",啊，在這，給你。,,"Jasne, masz.",ああ、そうだった、これね。
79,Dialogue/Conversation/28/Entry/1/Dialogue Text,0,Dialogue/Conversation/28/Entry/1/Dialogue Text,,Pass?,Справка?,通行证？,Carte d’accès ?,Attest?,¿Documentos?,Passe?,通行證？,,Przepustka?,許可証？
80,Dialogue/Conversation/28/Entry/2/Dialogue Text,0,Dialogue/Conversation/28/Entry/2/Dialogue Text,,Here you go.,Держите.,给你。,Et voilà.,"Hier, bitte schön.",Aquí tienes.,Aqui está.,給你。,,Proszę.,どうぞ。
81,Dialogue/Conversation/29/Entry/1/Dialogue Text,0,Dialogue/Conversation/29/Entry/1/Dialogue Text,,Do you have a pass? Do you want me to search you?,Справка есть? А если найду?,你有通行证吗？要我搜你身吗？,Vous avez une carte d’accès ? Vous voulez que je vous fouille ?,Geben Sie mir Ihr Attest freiwillig oder muss ich Sie durchsuchen?,¿Tienes los documentos? ¿O prefieres que te cachee?,Você tem um passe? Quer que eu te reviste?,你有通行證嗎？要我搜你身嗎？,,Masz przepustkę? Mam cię przeszukać?,許可証は持ってるのか？身体検査をされたいのか？
82,Dialogue/Conversation/29/Entry/2/Dialogue Text,0,Dialogue/Conversation/29/Entry/2/Dialogue Text,,"No need, I'll show it!","Не надо, я сейчас всё найду!",不用，我这就拿出来！,"Pas la peine, je vais vous la montrer !","Nicht nötig, ich zeige es Ihnen!","¡Toma, toma! Qué mala leche...","Não precisa, eu te mostro!",不用，我這就拿出來！,,"Nie trzeba, pokażę!",その必要はないよ、見せるから！
83,Dialogue/Conversation/30/Entry/1/Dialogue Text,0,Dialogue/Conversation/30/Entry/1/Dialogue Text,,Your paper justification?,Бумажное оправдание?,你有书面报备许可吗？,Et votre justificatif ?,Wo ist Ihre ärztliche Bescheinigung?,¿El certificado?,Seu formulário de justificativa?,你有書面報備許可嗎？,,Twoje papiery?,紙の証明書は？
84,Dialogue/Conversation/30/Entry/2/Dialogue Text,0,Dialogue/Conversation/30/Entry/2/Dialogue Text,,"Huh? Oh, here!","Э-э-э? А, вот!",啊？哦，在这！,"Hein ? Oh, tenez !","Hä? Ach, hier!","¿Eh? ¡Ah, toma!","Hein? Ah, aqui está!",啊？哦，在這！,,"Co? A tak, proszę!",へ？あ、ここに！
85,Dialogue/Conversation/31/Entry/1/Dialogue Text,0,Dialogue/Conversation/31/Entry/1/Dialogue Text,,You know how things work around here.,"Ты знаешь, как тут решаются такие вопросы.",你懂这里的规矩。,Vous savez comment ça marche ici.,"Sie wissen ja, wie das hier abläuft.",Ya sabes cómo funcionan las cosas por aquí.,Você sabe como as coisas funcionam por aqui.,你懂這裡的規矩。,,"Wiesz, jak to działa.",ここではどうするべきかわかっているよな？
86,Dialogue/Conversation/31/Entry/2/Dialogue Text,0,Dialogue/Conversation/31/Entry/2/Dialogue Text,,"Yes, here's my pass!","Да, вот справка!",有的，这是我的通行证！,"Oui, voici ma carte d’accès !","Stimmt, hier ist mein Attest!","Sí, sí. Toma, los documentos.","Sim, aqui está meu passe!",有的，這是我的通行證！,,"Tak, to moja przepustka!",もちろん、これが私の許可証だよ！
87,Dialogue/Conversation/32/Entry/1/Dialogue Text,0,Dialogue/Conversation/32/Entry/1/Dialogue Text,,Do you have a pass on you?,Справка имеется?,你身上有通行证吗？,Avez-vous une carte d’accès sur vous ?,Haben Sie ein Attest dabei?,¿Traes los documentos?,Você tem um passe?,你身上有通行證嗎？,,Masz przepustkę?,許可証をお持ちで？
88,Dialogue/Conversation/32/Entry/2/Dialogue Text,0,Dialogue/Conversation/32/Entry/2/Dialogue Text,,"Yes, here.","Да, вот.",有，给你。,"Oui, elle est là.","Ja, hier bitte.",Toma.,"Sim, aqui está.",有，給你。,,"Tak, proszę.",はい、どうぞ。
89,Dialogue/Conversation/33/Entry/1/Dialogue Text,0,Dialogue/Conversation/33/Entry/1/Dialogue Text,,This is getting dangerous…,А вот это становится опасно…,这儿变得越来越危险了。,Ça en devient dangereux...,Das wird langsam gefährlich …,La cosas se están torciendo...,Isto está ficando perigoso...,這裡變得越來越危險了。,,Robi się niebezpiecznie...,危険になってきているな…
90,Dialogue/Conversation/34/Entry/1/Dialogue Text,0,Dialogue/Conversation/34/Entry/1/Dialogue Text,,"Oh, that's unfortunate...","Не повезло, ой как не повезло…",哦，真不走运……,"Ah, c’est malheureux...","Oh, das ist ja schade ...","Vaya, una lástima.","Ah, que pena...",哦，真不走運……,,Co za pech...,あらま、それは不幸なことで...
91,Dialogue/Conversation/35/Entry/2/Dialogue Text,0,Dialogue/Conversation/35/Entry/2/Dialogue Text,,This must have always been there.,"Наверное, оно там всегда было.",这东西肯定一直就在那儿。,Ça a sans doute toujours été là.,Das muss schon immer da gewesen sein.,Supongo que siempre ha estado aquí.,Acho que sempre esteve lá.,這東西肯定一直就在那裡。,,To musiało tam być od zawsze.,これはずっとそこにあったはず。
92,Dialogue/Conversation/36/Entry/2/Dialogue Text,0,Dialogue/Conversation/36/Entry/2/Dialogue Text,,"Personally, I know nothing about it.",Лично я об этом ничего не знаю.,我个人对此一无所知。,"Pour ma part, je n’en sais rien.",Ich persönlich weiß nichts davon.,"A mí no me mires, yo no sé nada.",Não sei nada sobre isso.,我個人對此一無所知。,,Osobiście nic o tym nie wiem.,個人的には、全く何も知らないんだけど。
