index,key,category,term_type,description,english,placeholders,rich_text_tags
132,Dialogue/Conversation/64/Entry/1/Dialogue Text,Dialogue,0,,Don't you dare!,,
133,Dialogue/Conversation/64/Entry/2/Dialogue Text,Dialogue,0,,Too late...,,
134,Dialogue/Conversation/65/Entry/1/Dialogue Text,Dialogue,0,,Umm... Maybe I should just leave.,,
135,Dialogue/Conversation/65/Entry/2/Dialogue Text,Dialogue,0,,No way.,,
136,Dialogue/Conversation/66/Entry/1/Dialogue Text,Dialogue,0,,Are you sure?,,
137,Dialogue/Conversation/66/Entry/2/Dialogue Text,Dialogue,0,,I am. You cannot imagine how much.,,
138,Dialogue/Conversation/67/Entry/1/Dialogue Text,Dialogue,0,,Why?,,
139,Dialogue/Conversation/67/Entry/2/Dialogue Text,Dialogue,0,,"Nothing personal, just doing my job.",,
140,Dialogue/Conversation/68/Entry/1/Dialogue Text,Dialogue,0,,"Oh, don't mind that...",,
141,Dialogue/Conversation/69/Entry/1/Dialogue Text,Dialogue,0,,Come on...,,
142,Dialogue/Conversation/70/Entry/1/Dialogue Text,Dialogue,0,,How could such a trifle cause trouble?,,
143,Dialogue/Conversation/71/Entry/1/Dialogue Text,Dialogue,0,,I have to deny you passage.,,
144,Dialogue/Conversation/72/Entry/1/Dialogue Text,Dialogue,0,,Access privileges clearly state...,,
145,Dialogue/Conversation/73/Entry/1/Dialogue Text,Dialogue,0,,I have no choice but to allow...,,
146,Doc_Loc/MaleName1,Doc_Loc,0,НЕ ПЕРЕВОДИТЬ,Акакий Акакиевич,,
147,Doc_Loc/MaleName2,Doc_Loc,0,НЕ ПЕРЕВОДИТЬ,Кабан Кабаныч,,
148,Doc_Loc/MaleName3,Doc_Loc,0,НЕ ПЕРЕВОДИТЬ,Мистер Бигнули,,
149,Doc_Loc/MaleName4,Doc_Loc,0,НЕ ПЕРЕВОДИТЬ,Крош,,
150,Doc_Loc/MaleName5,Doc_Loc,0,НЕ ПЕРЕВОДИТЬ,Бараш,,
151,Doc_Loc/MaleName6,Doc_Loc,0,НЕ ПЕРЕВОДИТЬ,Копатыч,,
152,Doc_Loc/MaleName7,Doc_Loc,0,НЕ ПЕРЕВОДИТЬ,Каркарыч,,
153,Doc_Loc/MaleName8,Doc_Loc,0,НЕ ПЕРЕВОДИТЬ,Пин,,
154,Doc_Loc/MaleName9,Doc_Loc,0,НЕ ПЕРЕВОДИТЬ,Ёжик,,
155,Doc_Loc/MaleName10,Doc_Loc,0,НЕ ПЕРЕВОДИТЬ,Абобус Абобусович,,
156,Doc_Loc/MaleName11,Doc_Loc,0,НЕ ПЕРЕВОДИТЬ,Безымянный Брайан,,
157,Doc_Loc/MaleName12,Doc_Loc,0,НЕ ПЕРЕВОДИТЬ,Петрович,,
158,Doc_Loc/MaleName13,Doc_Loc,0,НЕ ПЕРЕВОДИТЬ,Чхин Чхан Чхон,,
159,Doc_Loc/MaleName14,Doc_Loc,0,НЕ ПЕРЕВОДИТЬ,Ган Джи,,
160,Doc_Loc/MaleName15,Doc_Loc,0,,Grzegorz Brzeszciętekiewicz,,
161,Doc_Loc/MaleName16,Doc_Loc,0,,,,
162,Doc_Loc/MaleName17,Doc_Loc,0,,,,
163,Doc_Loc/MaleName18,Doc_Loc,0,,,,
164,Doc_Loc/MaleNameMetamorphose,Doc_Loc,0,,Gregor Samsa,,
165,Doc_Loc/FemaleName1,Doc_Loc,0,НЕ ПЕРЕВОДИТЬ,Нюша,,
166,Doc_Loc/FemaleName2,Doc_Loc,0,НЕ ПЕРЕВОДИТЬ,Совунья,,
167,Doc_Loc/FemaleName3,Doc_Loc,0,НЕ ПЕРЕВОДИТЬ,Клара,,
168,Doc_Loc/FemaleName4,Doc_Loc,0,НЕ ПЕРЕВОДИТЬ,Мара,,
169,Doc_Loc/FemaleName5,Doc_Loc,0,НЕ ПЕРЕВОДИТЬ,Лара,,
170,Doc_Loc/FemaleName6,Doc_Loc,0,НЕ ПЕРЕВОДИТЬ,Сара,,
171,Doc_Loc/FemaleName7,Doc_Loc,0,НЕ ПЕРЕВОДИТЬ,Варвара,,
172,Doc_Loc/FemaleName8,Doc_Loc,0,НЕ ПЕРЕВОДИТЬ,Ильинишна,,
173,Doc_Loc/FemaleName9,Doc_Loc,0,НЕ ПЕРЕВОДИТЬ,Тон Фу,,
174,Doc_Loc/FemaleName10,Doc_Loc,0,НЕ ПЕРЕВОДИТЬ,Шурупочка,,
175,Doc_Loc/FemaleName11,Doc_Loc,0,НЕ ПЕРЕВОДИТЬ,Ира Транж,,
176,Doc_Loc/FemaleName12,Doc_Loc,0,НЕ ПЕРЕВОДИТЬ,Сочная Милфа,,
177,Doc_Loc/FemaleName13,Doc_Loc,0,,,,
178,Doc_Loc/FemaleName14,Doc_Loc,0,,,,
179,Doc_Loc/FemaleName15,Doc_Loc,0,,,,
180,Doc_Loc/FemaleName16,Doc_Loc,0,,,,
181,Doc_Loc/BossName01,Doc_Loc,0,,The Coordinator,,
182,Doc_Loc/,Doc_Loc,0,,#N/A,,
183,Doc_Loc/SerialNumber1,Doc_Loc,0,,123,,
184,Doc_Loc/SerialNumber10,Doc_Loc,0,,124154,,
185,Doc_Loc/SerialNumber11,Doc_Loc,0,,5324235,,
186,Doc_Loc/SerialNumber2,Doc_Loc,0,,1254,,
187,Doc_Loc/SerialNumber3,Doc_Loc,0,,1525,,
188,Doc_Loc/SerialNumber4,Doc_Loc,0,,3262,,
189,Doc_Loc/SerialNumber5,Doc_Loc,0,,12552,,
190,Doc_Loc/SerialNumber6,Doc_Loc,0,,13,,
191,Doc_Loc/SerialNumber7,Doc_Loc,0,,235236,,
192,Doc_Loc/SerialNumber8,Doc_Loc,0,,56431252,,
193,Doc_Loc/SerialNumber9,Doc_Loc,0,,3453553,,
194,Doc_Loc/SimpleNumber1,Doc_Loc,0,,1,,
195,Doc_Loc/SimpleNumber2,Doc_Loc,0,,2,,
196,Doc_Loc/SimpleNumber3,Doc_Loc,0,,3,,
197,Doc_Loc/SimpleNumber4,Doc_Loc,0,,4,,
198,Doc_Loc/SimpleNumber5,Doc_Loc,0,,5,,
199,Doc_Loc/SimpleNumber6,Doc_Loc,0,,6,,
200,Doc_Loc/SimpleNumber7,Doc_Loc,0,,7,,
201,Doc_Loc/SimpleNumber8,Doc_Loc,0,,8,,
202,Doc_Loc/SimpleNumber9,Doc_Loc,0,,9,,
203,Abstract_Dev/1,Abstract_Dev,0,Аномальный размер органа,Abnormal organ size,,
204,Abstract_Dev/2,Abstract_Dev,0,Аномальный наклон орагана,Abnormal organ angle,,
205,Abstract_Dev/3,Abstract_Dev,0,Аномальные следы на документе,Marks on the document,,
206,Abstract_Dev/4,Abstract_Dev,0,Аномальная целостность органа,Abnormal organ integrity,,
207,Abstract_Dev/5,Abstract_Dev,0,Аномальное количество органов,Abnormal number of organs,,
208,Abstract_Dev/6,Abstract_Dev,0,Инородный объект,Foreign body,,
209,Abstract_Dev/7,Abstract_Dev,0,Несуществующий объект на фотографии,Abnormal photo development,,
210,Abstract_Dev/8,Abstract_Dev,0,Кожная мутация,External mutation,,
211,Abstract_Dev/9,Abstract_Dev,0,Мутация органа,Organ mutation,,
212,Abstract_Dev/10,Abstract_Dev,0,Аномальная кость,Abnormal bone structure,,
213,Abstract_Dev/11,Abstract_Dev,0,Аномальная температура,Abnormal temperature condition,,
214,Abstract_Dev/12,Abstract_Dev,0,,,,
215,Abstract_Dev/13,Abstract_Dev,0,,,,
216,Abstract_Dev/14,Abstract_Dev,0,,,,
217,Abstract_Dev/15,Abstract_Dev,0,,,,
218,Abstract_Dev/16,Abstract_Dev,0,,,,
219,Abstract_Dev/17,Abstract_Dev,0,,,,
220,Abstract_Dev/18,Abstract_Dev,0,,,,
221,Abstract_Dev/19,Abstract_Dev,0,,,,
222,Abstract_Dev/20,Abstract_Dev,0,,,,
223,Abstract_Dev/21,Abstract_Dev,0,,,,
224,Abstract_Dev/22,Abstract_Dev,0,,,,
225,Abstract_Dev/23,Abstract_Dev,0,,,,
226,Abstract_Dev/24,Abstract_Dev,0,,,,
227,Abstract_Dev/25,Abstract_Dev,0,,,,
228,Abstract_Dev/26,Abstract_Dev,0,,,,
229,Abstract_Dev/27,Abstract_Dev,0,,,,
230,Abstract_Dev/28,Abstract_Dev,0,,,,
231,Abstract_Dev/29,Abstract_Dev,0,,,,
232,Abstract_Dev/30,Abstract_Dev,0,,,,
233,Abstract_Dev/31,Abstract_Dev,0,,,,
234,Abstract_Dev/32,Abstract_Dev,0,,,,
235,Abstract_Dev/33,Abstract_Dev,0,,,,
236,Abstract_Dev/34,Abstract_Dev,0,,,,
237,Abstract_Dev/35,Abstract_Dev,0,,,,
238,Abstract_Dev/36,Abstract_Dev,0,,,,
239,Abstract_Dev/37,Abstract_Dev,0,,,,
240,Abstract_Dev/38,Abstract_Dev,0,,,,
241,Abstract_Dev/39,Abstract_Dev,0,,,,
242,Abstract_Dev/40,Abstract_Dev,0,,,,
243,Abstract_Dev/41,Abstract_Dev,0,,,,
244,Abstract_Dev/42,Abstract_Dev,0,,,,
245,Abstract_Dev/43,Abstract_Dev,0,,,,
246,Abstract_Dev/44,Abstract_Dev,0,,,,
247,Abstract_Dev/45,Abstract_Dev,0,,,,
248,Abstract_Dev/46,Abstract_Dev,0,,,,
249,Abstract_Dev/47,Abstract_Dev,0,,,,
250,Abstract_Dev/48,Abstract_Dev,0,,,,
251,Abstract_Dev/49,Abstract_Dev,0,,,,
252,Abstract_Dev/50,Abstract_Dev,0,,,,
253,Abstract_Dev/51,Abstract_Dev,0,,,,
254,Abstract_Dev/52,Abstract_Dev,0,,,,
255,Abstract_Dev/53,Abstract_Dev,0,,,,
256,Abstract_Dev/54,Abstract_Dev,0,,,,
257,Abstract_Dev/55,Abstract_Dev,0,,,,
258,Abstract_Dev/56,Abstract_Dev,0,,,,
259,Abstract_Dev/57,Abstract_Dev,0,,,,
260,Abstract_Dev/58,Abstract_Dev,0,,,,
261,Abstract_Dev/59,Abstract_Dev,0,,,,
262,Abstract_Dev/60,Abstract_Dev,0,,,,
263,Abstract_Dev/61,Abstract_Dev,0,,,,
264,Abstract_Dev/62,Abstract_Dev,0,,,,
265,Abstract_Dev/63,Abstract_Dev,0,,,,
266,Abstract_Dev/64,Abstract_Dev,0,,,,
267,Abstract_Dev/65,Abstract_Dev,0,,,,
268,Abstract_Dev/66,Abstract_Dev,0,,,,
269,Abstract_Dev/67,Abstract_Dev,0,,,,
270,Abstract_Dev/68,Abstract_Dev,0,,,,
271,Abstract_Dev/69,Abstract_Dev,0,,,,
272,Abstract_Dev/70,Abstract_Dev,0,,,,
273,Abstract_Dev/71,Abstract_Dev,0,,,,
274,Abstract_Dev/72,Abstract_Dev,0,,,,
275,Abstract_Dev/73,Abstract_Dev,0,,,,
276,Abstract_Dev/74,Abstract_Dev,0,,,,
277,Abstract_Dev/75,Abstract_Dev,0,,,,
278,Abstract_Dev/76,Abstract_Dev,0,,,,
279,Abstract_Dev/77,Abstract_Dev,0,,,,
280,Abstract_Dev/78,Abstract_Dev,0,,,,
281,Abstract_Dev/79,Abstract_Dev,0,,,,
282,Abstract_Dev/80,Abstract_Dev,0,,,,
283,Abstract_Dev/81,Abstract_Dev,0,,,,
284,Abstract_Dev/82,Abstract_Dev,0,,,,
285,Abstract_Dev/83,Abstract_Dev,0,,,,
286,Abstract_Dev/84,Abstract_Dev,0,,,,
287,Abstract_Dev/85,Abstract_Dev,0,,,,
288,Abstract_Dev/86,Abstract_Dev,0,,,,
289,Abstract_Dev/87,Abstract_Dev,0,,,,
290,Abstract_Dev/88,Abstract_Dev,0,,,,
291,Abstract_Dev/89,Abstract_Dev,0,,,,
292,Abstract_Dev/90,Abstract_Dev,0,,,,
293,Real_Dev/1,Real_Dev,0,Ненастоящее имя в паспорте,Enlarged kidney,,
294,Real_Dev/2,Real_Dev,0,Ненастоящее имя в пропуске,Reduced kidney,,
295,Real_Dev/3,Real_Dev,0,Почка увеличена,Tilted kidney,,
296,Real_Dev/4,Real_Dev,0,Почка уменьшена,Missing hemisphere,,
297,Real_Dev/5,Real_Dev,0,Почка повёрнута по оси,Enlarged hemisphere,,
298,Real_Dev/6,Real_Dev,0,Ненастоящее имя в мед справке,Reduced hemisphere,,
299,Real_Dev/7,Real_Dev,0,Значение поля совпадает с требуемым значением инструкции,Upside-down brain,,
300,Real_Dev/8,Real_Dev,0,Отсутствие левого полушария мозга,Missing kidney,,
301,Real_Dev/9,Real_Dev,0,Отсутствие правого полушария мозга,Sharp fangs,,
302,Real_Dev/10,Real_Dev,0,Увеличенное полушарие,Hypothermic head,,
303,Real_Dev/11,Real_Dev,0,Уменьшенное полушарие,Hypothermic chest,,
304,Real_Dev/12,Real_Dev,0,Перевёрнутый мозг,Hypothermic heart,,
305,Real_Dev/13,Real_Dev,0,Отсутствует Правая почка,Hypothermic stomach,,
306,Real_Dev/14,Real_Dev,0,Отсутствует Левая почка,Hyperthermic head,,
307,Real_Dev/15,Real_Dev,0,Острые клыки,Hyperthermic chest,,
308,Real_Dev/16,Real_Dev,0,"Устаревшее, можно переиспользовать",Hyperthermic lungs,,
309,Real_Dev/17,Real_Dev,0,Обычные отпечатки на паспорте,Hyperthermic stomach,,
310,Real_Dev/18,Real_Dev,0,Обычные отпечатки на пропуске,Fused teeth,,
311,Real_Dev/19,Real_Dev,0,Обычные отпечатки на справке,Heart pigmentation,,
312,Real_Dev/20,Real_Dev,0,Необычные отпечатки на паспорте,Self-feeding stomach,,
313,Real_Dev/21,Real_Dev,0,Необычные отпечатки на пропуске,Coral kidney,,
314,Real_Dev/22,Real_Dev,0,Необычные отпечатки на справке,Missing lung,,
315,Real_Dev/23,Real_Dev,0,Следы крови на паспорте,Skin rash,,
316,Real_Dev/24,Real_Dev,0,Следы крови на пропуске,Fungal skin growth,,
317,Real_Dev/25,Real_Dev,0,Следы крови на справке,Tentacle-like limb deformity,,
318,Real_Dev/26,Real_Dev,0,,Esophageal cutaneous mutation,,
319,Real_Dev/27,Real_Dev,0,,Symbiotic intelligent growth,,
320,Real_Dev/28,Real_Dev,0,Грибы,Crystal bone,,
321,Real_Dev/29,Real_Dev,0,Тентакля,Metallic bone,,
322,Real_Dev/30,Real_Dev,0,Пасть,Hidden socket,,
323,Real_Dev/31,Real_Dev,0,Крэнг,Sharp bone,,
324,Real_Dev/32,Real_Dev,0,Холодная голова,Thick bone,,
325,Real_Dev/33,Real_Dev,0,Холодная грудь,Thin bone,,
326,Real_Dev/34,Real_Dev,0,Холодное средце,Crystal growth,,
327,Real_Dev/35,Real_Dev,0,Холодный живот,Tainted bone,,
328,Real_Dev/36,Real_Dev,0,Горячая голова,Missing ribs,,
329,Real_Dev/37,Real_Dev,0,Горячая грудь,Dense bone,,
330,Real_Dev/38,Real_Dev,0,Горячие лёгкие,Spiral bone deformity,,
331,Real_Dev/39,Real_Dev,0,Горячий живот,Brain electrification,,
332,Real_Dev/40,Real_Dev,0,Монозубы,Brain petrification,,
333,Real_Dev/41,Real_Dev,0,Черное сердце,Brain pescafication,,
334,Real_Dev/42,Real_Dev,0,Ненасытная утроба,Shark teeth syndrome,,
335,Real_Dev/43,Real_Dev,0,Коралловый полип вместо левой почки,Lung bagisation,,
336,Real_Dev/44,Real_Dev,0,Коралловый полип вместо правой почки,Heart petrification,,
337,Real_Dev/45,Real_Dev,0,Коралловый полип вместо лишней почки,Heart electrification,,
338,Real_Dev/46,Real_Dev,0,Отсутствует левое лёгкое,Heart voodooisation,,
339,Real_Dev/47,Real_Dev,0,Отсутствует правое лёгкое,Liver bagisation,,
340,Real_Dev/48,Real_Dev,0,Пучок Сфер (Фото),Vintage gastric augmentation,,
341,Real_Dev/49,Real_Dev,0,Подозрительная сыпь на шее-Чел-М,Kidney electrification,,
342,Real_Dev/50,Real_Dev,0,Подозрительная сыпь на верхней части груди-Чел-М,Skull bumps,,
343,Real_Dev/51,Real_Dev,0,Подозрительная сыпь на груди слева-Чел-М,Class [REDACTED] bionic skull,,
344,Real_Dev/52,Real_Dev,0,Подозрительная сыпь на груди справа-Чел-М,Class [REDACTED] bionic ribs,,
345,Real_Dev/53,Real_Dev,0,Подозрительная сыпь на левом плече-Чел-М,Class [REDACTED] bionic left humerus,,
346,Real_Dev/54,Real_Dev,0,Подозрительная сыпь на правом плече-Чел-М,Class [REDACTED] bionic right humerus,,
347,Real_Dev/55,Real_Dev,0,Подозрительная сыпь на животе-Чел-М,Coral Bone Transformation,,
348,Real_Dev/56,Real_Dev,0,Подозрительная сыпь на левом боку-Чел-М,Bone Ichthyization,,
349,Real_Dev/57,Real_Dev,0,Подозрительная сыпь на правом боку-Чел-М,Skull Ichthyization,,
350,Real_Dev/58,Real_Dev,0,Подозрительная сыпь на шее-Чел-Ж,Tentacles in the Photo,,
