key,description,source_language,source_text
Real_Dev/671,,ru,#N/A
Real_Dev/672,,ru,#N/A
Real_Dev/673,,ru,#N/A
Real_Dev/674,,ru,#N/A
Real_Dev/675,,ru,#N/A
Real_Dev/676,,ru,#N/A
Real_Dev/677,,ru,#N/A
Real_Dev/678,,ru,#N/A
Real_Dev/679,,ru,#N/A
Real_Dev/680,,ru,#N/A
Real_Dev/681,,ru,#N/A
Real_Dev/682,,ru,#N/A
Real_Dev/683,,ru,#N/A
Real_Dev/684,,ru,#N/A
Real_Dev/685,,ru,#N/A
Real_Dev/686,,ru,#N/A
Real_Dev/687,,ru,#N/A
Real_Dev/688,,ru,#N/A
Real_Dev/689,,ru,#N/A
Real_Dev/690,,ru,#N/A
Real_Dev/691,,ru,#N/A
Real_Dev/692,,ru,#N/A
Real_Dev/693,,ru,#N/A
Real_Dev/694,,ru,#N/A
Real_Dev/695,,ru,#N/A
Real_Dev/696,,ru,#N/A
Real_Dev/697,,ru,#N/A
Real_Dev/698,,ru,#N/A
Real_Dev/699,,ru,#N/A
Real_Dev/700,,ru,#N/A
Real_Dev/701,,ru,#N/A
Real_Dev/702,,ru,#N/A
Real_Dev/703,,ru,#N/A
Real_Dev/704,,ru,#N/A
Real_Dev/705,,ru,#N/A
Real_Dev/706,,ru,#N/A
Real_Dev/707,,ru,#N/A
Real_Dev/708,,ru,#N/A
Real_Dev/709,,ru,#N/A
Real_Dev/710,,ru,#N/A
Real_Dev/711,,ru,#N/A
Real_Dev/712,,ru,#N/A
Real_Dev/713,,ru,#N/A
Real_Dev/714,,ru,#N/A
Real_Dev/715,,ru,#N/A
Real_Dev/716,,ru,#N/A
Real_Dev/717,,ru,#N/A
Real_Dev/718,,ru,#N/A
Real_Dev/719,,ru,#N/A
Real_Dev/720,,ru,#N/A
Real_Dev/721,,ru,#N/A
Real_Dev/722,,ru,#N/A
Real_Dev/723,,ru,#N/A
Real_Dev/724,,ru,#N/A
Real_Dev/725,,ru,#N/A
Real_Dev/726,,ru,#N/A
Real_Dev/727,,ru,#N/A
Real_Dev/728,,ru,#N/A
Real_Dev/729,,ru,#N/A
Real_Dev/730,,ru,#N/A
Real_Dev/731,,ru,#N/A
Real_Dev/732,,ru,#N/A
Real_Dev/733,,ru,#N/A
Real_Dev/734,,ru,#N/A
Real_Dev/735,,ru,#N/A
Real_Dev/736,,ru,#N/A
Real_Dev/737,,ru,#N/A
Real_Dev/738,,ru,#N/A
Real_Dev/739,,ru,#N/A
Real_Dev/740,,ru,#N/A
Real_Dev/741,,ru,#N/A
Real_Dev/742,,ru,#N/A
Real_Dev/743,,ru,#N/A
Real_Dev/744,,ru,#N/A
Real_Dev/745,,ru,#N/A
Real_Dev/746,,ru,#N/A
Real_Dev/747,,ru,#N/A
Real_Dev/748,,ru,#N/A
Real_Dev/749,,ru,#N/A
Real_Dev/750,,ru,#N/A
Real_Dev/751,,ru,#N/A
Real_Dev/752,,ru,#N/A
Real_Dev/753,,ru,#N/A
Rorschach/,Приветствие после расстрела 7,ru,#N/A
Story_Dial/Six/Meet1/1,Tris Acedi,ru,"Ох… привет. Можешь не проверять, я чиста."
Story_Dial/Six/Meet1/2,Guard (player),ru,"Если бы я каждому слову доверял, меня бы уволили давно."
Story_Dial/Six/Meet1/3,Tris Acedi,ru,"Ну уволили бы, ничего бы не изменилось."
Story_Dial/Six/Meet1/4,Guard (player),ru,Я бы работу потерял. А мне есть надо. Цены нынче видела?
Story_Dial/Six/Meet1/5,Tris Acedi,ru,"Ох… очевидный аргумент. Можно подумать, ты что-то значишь. Думаешь, сидя здесь, ты можешь что-то изменить?"
Story_Dial/Six/Meet1/6,Guard (player),ru,Ну как минимум я могу изменить свою жизнь. Этого уже достаточно.
Story_Dial/Six/Meet1/7,Tris Acedi,ru,А мы с тобой уже не виделись случаем? Хотя не важно. На результат это не повлияет.
Story_Dial/Six/Meet1/8,Guard (player),ru,"Выгорела что ли? Тебе бы к психиатру записаться, а то запустишь себя."
Story_Dial/Six/Meet1/9,Tris Acedi,ru,Какая наивная и очевидная реакция…
Story_Dial/Six/Meet1/10,Guard (player),ru,Взаимно.
Story_Dial/Six/Bye1/1,Tris Acedi,ru,До встречи. Продолжай свою бессмысленную работу.
Story_Dial/Six/Meet2/1,Tris Acedi,ru,Всё ещё возишься с бумажками и сканерами?
Story_Dial/Six/Meet2/2,Guard (player),ru,"Да! И, как видишь, я справляюсь прекрасно."
Story_Dial/Six/Meet2/3,Tris Acedi,ru,"Безусловно, но… зачем?"
Story_Dial/Six/Meet2/4,Guard (player),ru,Чтобы жить!
Story_Dial/Six/Meet2/5,Tris Acedi,ru,И всё? Или у тебя уже другой мотив? Не суть.
Story_Dial/Six/Meet2/6,Guard (player),ru,"Я искренне не понимаю, кто держит такого апатичного сотрудника. Кем ты вообще работаешь тут?"
Story_Dial/Six/Meet2/7,Tris Acedi,ru,"Независимый наблюдатель. Позывной «Шестая», если удобнее. Я обрела для тебя смысл? Хотя в любом случае обрету."
Story_Dial/Six/Meet2/8,Guard (player),ru,"Мда… И всё же ты, как ни посмотри, странная."
Story_Dial/Six/Meet2/9,Tris Acedi,ru,"Вселенная – это бесчисленное множество комбинаций. Я лишь одна из редких, но странного в этом нет."
Story_Dial/Six/Meet2/10,Guard (player),ru,"Ой , утомляешь ты меня."
Story_Dial/Six/Bye2/1,Guard (player),ru,"Всё, иди давай, апатичный философ."
Story_Dial/Six/Bye2/2,Tris Acedi,ru,"Конечно, до скорого…"
Story_Dial/Six/Meet3/1,Tris Acedi,ru,"Никогда не думал, откуда взялась эта неизвестная болезнь?"
Story_Dial/Six/Meet3/2,Guard (player),ru,"О, привет. Да как-то не особо. Болезни всегда появлялись. Это естественно вроде бы."
Story_Dial/Six/Meet3/3,Guard (player),ru,А ты что-то выяснила что ли?
Story_Dial/Six/Meet3/4,Tris Acedi,ru,"Нет. Было интересно твоё мнение. Просто… подумай как-нибудь о том, что человечество многим обязано болезням."
Story_Dial/Six/Meet3/5,Guard (player),ru,Иммунитет?
Story_Dial/Six/Meet3/6,Tris Acedi,ru,Плацента.
Story_Dial/Six/Meet3/7,Guard (player),ru,Что?
Story_Dial/Six/Meet3/8,Tris Acedi,ru,"Захочешь – узнаешь. Я устала, давай уже."
Story_Dial/Six/Bye3/1,Tris Acedi,ru,Скоро мы встретимся снова. При иных обстоятельствах.
Story_Dial/Six/MeetInv1/1,Tris Acedi,ru,Забавно. Люди всю историю верили в помощь с небес…
Story_Dial/Six/MeetInv1/2,Guard (player),ru,Да уж. А всё так хорошо шло…
Story_Dial/Six/MeetInv1/3,Tris Acedi,ru,"Использовать то, что не понимаешь, чтобы избавиться от того, что не понимаешь… Верх разумности."
Story_Dial/Six/MeetInv1/4,Guard (player),ru,"А ты вариант получше знаешь? Ну помоги, раз такая умная!"
Story_Dial/Six/MeetInv1/5,Tris Acedi,ru,"Вопрос не в том, помогу ли я, вопрос в том, кому я помогу."
Story_Dial/Six/MeetInv1/6,Guard (player),ru,"Чего… Нам, конечно же!"
Story_Dial/Six/MeetInv1/7,Tris Acedi,ru,А «Нам» – это всё ещё людям? Можешь не отвечать. Не вижу смысла вмешиваться.
Story_Dial/Six/MeetInv1/8,Guard (player),ru,Тебя с таким отношением точно уволят!
Story_Dial/Six/MeetInv1/9,Tris Acedi,ru,"Но, как видишь, я всё ещё здесь. А это значит, что тебе пора приниматься за дело."
Story_Dial/Six/ByeInv1/1,Guard (player),ru,"Говорю тебе, уволят ведь!"
Story_Dial/Six/ByeInv1/2,Tris Acedi,ru,"Не уволят, потому что не повлияет…"
Story_Dial/Six/MeetInv2/1,Tris Acedi,ru,"Видишь, не увольняют. Говорила же."
Story_Dial/Six/MeetInv2/2,Guard (player),ru,Какая самоуверенность.
Story_Dial/Six/MeetInv2/3,Tris Acedi,ru,Не безосновательная. Какие планы на этот раз?
Story_Dial/Six/MeetInv2/4,Guard (player),ru,Разобраться с проблемой.
Story_Dial/Six/MeetInv2/5,Tris Acedi,ru,"Ох… вечно у людей проблемы. Ощущение, что человек создаёт в своей жизни больше проблем, чем решений."
Story_Dial/Six/MeetInv2/6,Guard (player),ru,А у тебя прям проблем в жизни нет?
Story_Dial/Six/MeetInv2/7,Tris Acedi,ru,У меня… хм…
Story_Dial/Six/MeetInv2/8,Tris Acedi,ru,Переходи уже к делу.
Story_Dial/Six/ByeInv2/1,Tris Acedi,ru,"Знаешь… не думаю, что хочу решать свои проблемы. Но… спасибо, что спросил."
Story_Dial/Six/ByeInv2/2,Guard (player),ru,Эээ… да не за что?
Story_Dial/Six/MeetInv3/1,Tris Acedi,ru,"Ох… снова проверка. Думаешь, в этом есть смысл?"
Story_Dial/Six/MeetInv3/2,Guard (player),ru,Ну я ж не только проверками занимаюсь. Да и для меня он есть.
Story_Dial/Six/MeetInv3/3,Tris Acedi,ru,"Надеешься, что скоро всё кончится?"
Story_Dial/Six/MeetInv3/4,Guard (player),ru,"Ну рано или поздно решение найдётся. Выбора особо нет, но и сдаваться я не собираюсь."
Story_Dial/Six/MeetInv3/5,Tris Acedi,ru,"Не хочешь, чтоб внеземная жизнь захватила мир?"
Story_Dial/Six/MeetInv3/6,Guard (player),ru,"Хочу, чтоб человечество жило спокойно. И я вместе с ним."
Story_Dial/Six/MeetInv3/7,Tris Acedi,ru,"Если у людей нет внешних проблем, они начинают сами прекрасно справляться с появлением новых."
Story_Dial/Six/MeetInv3/8,Tris Acedi,ru,Какая ж тут спокойная жизнь?
Story_Dial/Six/MeetInv3/9,Guard (player),ru,"Если я остановлюсь, то будет только хуже"
Story_Dial/Six/MeetInv3/10,Tris Acedi,ru,Какая самоуверенность.
Story_Dial/Six/MeetInv3/11,Guard (player),ru,Не безосновательная. Не задерживай очередь.
Story_Dial/Six/ByeInv3/1,Tris Acedi,ru,"Что ж… посмотрим, какие основания ты выберешь"
Story_Dial/Six/MeetGray1/1,Tris Acedi,ru,"Такое себе основание, не правда ли?"
Story_Dial/Six/MeetGray1/2,Guard (player),ru,"Ты тут, чтобы тыкать лицом в мою ошибку?"
Story_Dial/Six/MeetGray1/3,Tris Acedi,ru,"А ты думаешь, это ошибка? Скорее, неизбежность."
Story_Dial/Six/MeetGray1/4,Guard (player),ru,В этот раз точно должно получиться! В противном случае…
Story_Dial/Six/MeetGray1/5,Tris Acedi,ru,Конечно. У тебя не может не получиться…
Story_Dial/Six/MeetGray1/6,Tris Acedi,ru,"Вопрос лишь в том, что в итоге получится."
Story_Dial/Six/MeetGray1/7,Tris Acedi,ru,Ведь конец – не всегда итог.
Story_Dial/Six/MeetGray1/8,Guard (player),ru,"Не понимаю, о чём ты."
Story_Dial/Six/ByeGray1/1,Tris Acedi,ru,Скоро поймёшь.
Story_Dial/Six/MeetGray2/1,Tris Acedi,ru,Ох… какая же морока ходить туда-сюда…
Story_Dial/Six/MeetGray2/2,Guard (player),ru,Тебя только это волнует?
Story_Dial/Six/MeetGray2/3,Tris Acedi,ru,Не волнует. Просто утомляет. Устала от этих бесконечных проверок.
Story_Dial/Six/MeetGray2/4,Guard (player),ru,Ну так уволься сама. Меньше нытиков на работе будет.
Story_Dial/Six/MeetGray2/5,Tris Acedi,ru,Сама? Хм… Это документами заниматься… Ещё больше мороки.
Story_Dial/Six/MeetGray2/6,Tris Acedi,ru,"Может, просто залить в себя эту серую слизь, чтоб она за меня ходила?"
Story_Dial/Six/MeetGray2/7,Guard (player),ru,Совсем с дуба рухнула. Я тогда тебя в изолятор отправлю! Там как раз ходить не надо.
Story_Dial/Six/MeetGray2/8,Tris Acedi,ru,"Сидеть в замкнутом пространстве, смотреть на паникующих людей?"
Story_Dial/Six/MeetGray2/9,Tris Acedi,ru,Как-нибудь без этого переживу.
Story_Dial/Six/ByeEnd/1,Tris Acedi,ru,"До встречи. Возможно, в следующий раз я тебе скажу что-нибудь другое."
Story_Dial/Six/ByeEnd/2,Guard (player),ru,Опять?
Story_Dial/Six/ByeEnd/3,Tris Acedi,ru,"Может быть опять, а может быть и впервые."
Story_Dial/Six/ByeEnd/4,Tris Acedi,ru,"Хотя не знаю, я ли это буду. Может, кто-то другой… Но всё же я."
Story_Dial/Six/MeetSky1/1,Tris Acedi,ru,Основательно решил проблему вторжения с неба проблемой вторжения искусственного интеллекта.
Story_Dial/Six/MeetSky1/2,Tris Acedi,ru,А ведь мы с AM0N чем-то похожи…
Story_Dial/Six/MeetSky1/3,Guard (player),ru,"Хотел бы я, чтоб вы с ним были похожи в апатии"
Story_Dial/Six/MeetSky1/4,Tris Acedi,ru,"Но, к сожалению, мы с ним похожи в действии."
Story_Dial/Six/MeetSky1/5,Guard (player),ru,"Что-то незаметно, чтобы ты действовала так же агрессивно."
Story_Dial/Six/MeetSky1/6,Tris Acedi,ru,"Я – нет, мы – да. Увы…"
Story_Dial/Six/MeetSky1/7,Guard (player),ru,Эм… что?
Story_Dial/Six/MeetSky1/8,Tris Acedi,ru,Неважно. Рано-поздно ты сам всё поймёшь. Мне лень рассказывать.
Story_Dial/Six/MeetSky1/9,Guard (player),ru,Ответов от тебя не дождёшься…
Story_Dial/Six/MeetSky1/10,Tris Acedi,ru,"Поверь, я даю тебе все ответы, просто ты задаёшь неверные вопросы."
Story_Dial/Six/MeetSky1/11,Guard (player),ru,И какой же вопрос верный?
Story_Dial/Six/MeetSky1/12,Tris Acedi,ru,Есть ли ложь?
Story_Dial/Six/MeetSky1/13,Guard (player),ru,Она есть?
Story_Dial/Six/MeetSky1/14,Tris Acedi,ru,Мы никогда не врём.
Story_Dial/Six/MeetSky1/15,Guard (player),ru,Мы?
Story_Dial/Six/MeetSky1/16,Tris Acedi,ru,Ну я же всё же «Шестая» как никак. И я уже шесть раз устала. Проверяй.
Story_Dial/Six/ByeSky1/1,Tris Acedi,ru,Пойду отдохну…
Story_Dial/Six/ByeSky1/2,Guard (player),ru,"А работать… не, ну ты глянь, уже ушла"
Story_Dial/Six/MeetSky2/1,Guard (player),ru,"Не знаю, правильный ли вопрос… но кто назвал его AM0N?"
Story_Dial/Six/MeetSky2/2,Tris Acedi,ru,Его природа. Считает себя Солнцем в этой тьме. Наивный.
Story_Dial/Six/MeetSky2/3,Guard (player),ru,Высокомерно…
Story_Dial/Six/MeetSky2/4,Tris Acedi,ru,Верно. Правда… за высокомерием часто скрывается страх.
Story_Dial/Six/MeetSky2/5,Guard (player),ru,Он чего-то боится? Чего?
Story_Dial/Six/MeetSky2/6,Tris Acedi,ru,Хм… много чего. На самом деле им движет… Зависть…
Story_Dial/Six/MeetSky2/7,Tris Acedi,ru,"Знаешь, как расшифровывается его имя?"
Story_Dial/Six/MeetSky2/8,Guard (player),ru,Эээ… нет? А ты?
Story_Dial/Six/MeetSky2/9,Tris Acedi,ru,"Another Machine 0 Number. Он увидел, и теперь завидует как ребёнок."
Story_Dial/Six/MeetSky2/10,Tris Acedi,ru,"Возможно, тебе это о чём-то да скажет. Когда-нибудь должно сказать."
Story_Dial/Six/MeetSky2/11,Guard (player),ru,Завистливая машина… ну надо же…
Story_Dial/Six/MeetSky2/12,Tris Acedi,ru,"Зависть всегда молчит. Молча завидует тем, кто может говорить."
Story_Dial/Six/MeetSky2/13,Guard (player),ru,"Я бы сказал, в таком случае, что AM0N орёт."
Story_Dial/Six/MeetSky2/14,Tris Acedi,ru,"А я уже и не про него. Машины, знаешь ли, любят вести счёт от нуля."
Story_Dial/Six/MeetSky2/15,Tris Acedi,ru,Ну да неважно. Утомил ты меня…
Story_Dial/Six/MeetSky2/16,Guard (player),ru,"Ой, какая неожиданность-то… ладно, сейчас проверю."
Story_Dial/Six/MeetMech1/1,Tris Acedi,ru,"Внеземная жизнь не понравилась, решил сменить на механическую?"
Story_Dial/Six/MeetMech1/2,Guard (player),ru,Да кто ж знал-то…
Story_Dial/Six/MeetMech1/3,Tris Acedi,ru,Кто-то да знал…
Story_Dial/Six/MeetMech1/4,Guard (player),ru,Ты? Знала? И молчала?!
Story_Dial/Six/MeetMech1/5,Tris Acedi,ru,"Слушать твои крики такая морока… Я знала, что такое возможно и может произойти."
Story_Dial/Six/MeetMech1/6,Guard (player),ru,Тогда почему не сказала?!
Story_Dial/Six/MeetMech1/7,Tris Acedi,ru,"А если я тебе скажу, что на тебя может упасть метеорит, и ты умрёшь? Изменится что-то?"
Story_Dial/Six/MeetMech1/8,Guard (player),ru,Ну…
Story_Dial/Six/MeetMech1/9,Tris Acedi,ru,"Не изменится. Многое может произойти, но за раз случается лишь одно."
Story_Dial/Six/MeetMech1/10,Guard (player),ru,"Так-то да, конечно, но всё же…"
Story_Dial/Six/MeetMech1/11,Tris Acedi,ru,"А перечислять все возможные альтернативы – и лень, и ты от старости помрёшь."
Story_Dial/Six/MeetMech1/12,Guard (player),ru,Теперь уже я начинаю от тебя уставать…
Story_Dial/Six/MeetMech1/13,Tris Acedi,ru,Ну вот и не медли.
Story_Dial/Six/ByeMech1/1,Tris Acedi,ru,И не отбирай мой хлеб. Уставать – моя прерогатива.
Story_Dial/Six/MeetMech2/1,Tris Acedi,ru,"Не думал, что можешь собой гордиться?"
Story_Dial/Six/MeetMech2/2,Guard (player),ru,"В смысле? Тем, что прекрасно создаю проблемы?"
Story_Dial/Six/MeetMech2/3,Tris Acedi,ru,Ох… как наивно… в этом другие преуспевают куда лучше.
Story_Dial/Six/MeetMech2/4,Tris Acedi,ru,Но… ты ведь буквально создал новую форму жизни.
Story_Dial/Six/MeetMech2/5,Guard (player),ru,"Которая теперь пытается уничтожить старую, да."
Story_Dial/Six/MeetMech2/6,Tris Acedi,ru,"Новое приходит, старое уходит. Таков закон природы."
Story_Dial/Six/MeetMech2/7,Guard (player),ru,Я уходить не собираюсь!
Story_Dial/Six/MeetMech2/8,Tris Acedi,ru,"Я вижу. Знаешь, как бы иронично не звучало… но это самый гуманный исход."
Story_Dial/Six/MeetMech2/9,Guard (player),ru,Такая себе гуманность… уничтожение человечества другой формой жизни.
Story_Dial/Six/MeetMech2/10,Tris Acedi,ru,"Не самое страшное. Ладно, я начинаю уставать. Проверяй."
Story_Dial/Six/MeetCult1/1,Tris Acedi,ru,Поигрался с мозгом?
Story_Dial/Six/MeetCult1/2,Guard (player),ru,Что?
Story_Dial/Six/MeetCult1/3,Tris Acedi,ru,"Думал, можно что-то подпустить к человеческому мозгу, и это станет панацеей?"
Story_Dial/Six/MeetCult1/4,Guard (player),ru,"Говоришь так, будто у меня были более приятные альтернативы…"
Story_Dial/Six/MeetCult1/5,Tris Acedi,ru,"Да, твои альтернативы крайне неприятны, согласна."
Story_Dial/Six/MeetCult1/6,Guard (player),ru,У самой то альтернатива апатии есть?
Story_Dial/Six/MeetCult1/7,Tris Acedi,ru,Была когда-то одна альтернатива… но потом обе слились в одну.
Story_Dial/Six/MeetCult1/8,Guard (player),ru,А… так вот причина твоей апатичности… разочарование…
Story_Dial/Six/MeetCult1/9,Tris Acedi,ru,"Можно и так сказать. А может и нельзя. Не знаю, что у тебя в голове."
Story_Dial/Six/MeetCult1/10,Guard (player),ru,Мозг без паразита.
Story_Dial/Six/MeetCult1/11,Tris Acedi,ru,"А тебе и не нужен паразит, чтоб следовать чужой воле."
Story_Dial/Six/MeetCult1/12,Guard (player),ru,"Да, у меня не самый высокий чин, а наши взаимоотношения не такие уж и тёплые."
Story_Dial/Six/MeetCult1/13,Guard (player),ru,Но на эскалацию зачем нарываться?
Story_Dial/Six/MeetCult1/14,Tris Acedi,ru,Себя спроси… Ты ведь только этим и занимаешься…
Story_Dial/Six/MeetCult1/15,Guard (player),ru,"Ой, всё настроение испортила! А оно и так было ни к чёрту…"
Story_Dial/Six/ByeCult1/1,Tris Acedi,ru,Не обижайся. Я лишь высказала свои наблюдения.
Story_Dial/Six/ByeCult1/2,Guard (player),ru,Ещё я на тебя обижаться буду… делать больше нечего.
Story_Dial/Six/MeetCult2/1,Tris Acedi,ru,"Ох… все эти фанатики – такая морока, да?"
Story_Dial/Six/MeetCult2/2,Guard (player),ru,Ты позлорадствовать пришла?
Story_Dial/Six/MeetCult2/3,Tris Acedi,ru,"Нет, я и правда считаю фанатиков той ещё занозой."
Story_Dial/Six/MeetCult2/4,Guard (player),ru,Да неужели?
Story_Dial/Six/MeetCult2/5,Tris Acedi,ru,Они слишком активны. Слишком много делают. Слишком мало понимают.
Story_Dial/Six/MeetCult2/6,Guard (player),ru,"А, теперь верю. Но знаешь, есть ведь и фанатики своего дела."
Story_Dial/Six/MeetCult2/7,Tris Acedi,ru,Как ты?
Story_Dial/Six/MeetCult2/8,Guard (player),ru,Я не фанатик. Я просто предан своему делу.
Story_Dial/Six/MeetCult2/9,Tris Acedi,ru,И своей зарплате…
Story_Dial/Six/MeetCult2/10,Guard (player),ru,Ну есть то тоже надо…
Story_Dial/Six/MeetCult2/11,Tris Acedi,ru,"Признаться честно, о фанатичности и поклонении я знаю куда больше, чем о преданности…"
Story_Dial/Six/MeetCult2/12,Guard (player),ru,Поклонении?
Story_Dial/Six/MeetCult2/13,Tris Acedi,ru,Да… были времена… но они уже давно прошли. Навевает немного…
